"","text"
"789"," tastes almost thick  wonderful  unexpected    like  scotch  even  different   bourbon enormous character"
"790"," much   say really     try    whisky   real good price"
"791","    tried itjust buy "
"792"," nose  predictably strong  hard hit  alcohol however   nose adjusts  complexity  cut  intense hits  brown sugar rum  raisins fruit plays  big part   nature   whisky  nose   great mix  spice  fruit think  whole orange poked  star anise  placing   winter mulled wine pot   taste    traits  nose implies caramelized cooked fruits toffee sticky butteryness   tongue  welcome spice hits back    spice  asian cuisine style heat    big mouthful dont  intimidated   strength let  linger   get  beautiful mouthful  christmas pudding  warm winter desserts    finish thankfully    taste justice long smooth   warming theres  oak maturity     nice contrast   fruit ginger  cinnamon hints arise    seconds     welcome  rich spice stays long  youve    drams  walked away   drop something  found hard     "
"793","full body spicy finish"
"794","wish  knew     first whisky  japan  wow   surprise     sushi bar  dessertnow     much   expert   matters    one   drams  could easily  mistaken   malt  given  appropriate score try   well worth "
"795","slight oak really  smells strong oak almost like  mix   bourbon  rum"
"796","first tried nikka last year  first taste   pleasant surprise   never  able  describe  taste  whisky   way many experts  done however flowers  many  fragrances  evident together   slight oak  one  savour "
"797"," really  amazing stuff ive paid three times  price  whisky  wasnt  good   whisky  free  give     since price   factor    us ill give     cant go wrong   one    mom tasting notes  dead    buy    bottle  gone "
"798","absolutely stunning  got  one   present   friends  finland   amazed   whiskey combines strength  smoothness excellent excellent excellent  "
"799"," sharp  cuddly    time "
"800"," bottleoh  bottle expect  loose   drops   bottle   designed   easy pournow  taste  first sniff seemed  little intense factor    high  drop   expected definitely  tones  vanilla  citrus  found   little harsh  im coming  yr royal salute     smoothim taking one  gents previous post advise  let  breath   doubt ill  raving afterwards "
"801","  delicate whisky   caramel  honey overtones  dont seem  love   much  others   still enjoyable good price point   excellent stand  packaging"
"802"," try   one doesnt like  well mahayana whiskey int  thing"
"803"," god  strong taste wonderful aftertaste whit  loong  smoth taste  citrus  fruity flavor comes   role  beverge rolls   pallet   add  water   delight  feel  smoothnes "
"804"," pleasant flavour reminds   johnnie walker black  better "
"805","  one   nicest whiskys   dangerously drinkable  hosted  whisky eve   purchased   provide  lighter example   guests   drop  left beautifully fruity  deliciously smooth shame   comes  cl"
"806","japanese  one bottle love "
"807","friend gave good tasting   japanese whiskey  would say  tasted industrial  first  aftertaste  quite good   best one  neither  worst wouldnt buy  "
"808"," real treat  little beauty   often  blended whisky takes  breath away     real  guns blazing belter   find taste grabs hold    gives   beautiful warm hug   toffee kiss  tucking    nightthis wont stay   cupboard  long"
"809","briljant taste"
"810","given  price   retails    fantastic  would hold     loved  smooth lots  caramel  toffee flavours "
"811","    decent japanese whiskey   decent price   location  tried    glad   buy  one  one   kind initial notes  caramel toffee    back  alcohol  smoke hits    good way  something unique     tasted    whiskey needs teaspoon  water  open      little bit  mellow  bottle although looks nice   pain  pour  whiskey  lose  drops trying  pour   glass  bad considering    small bottle   dont like  waste  single drop "
"812","tried  whisky   first time tonight    triumph  caramel yes  smoothness  great measure  hadnt tried japanese whisky   consider  hooked  im almost tempted  go downstairs  another sipped shot  might   plump  sleep  well done tokyo"
"813","well spent money"
"814","fantastic"
"815","   single malt drink      recently spotted   felt  urge  try   description  perfect   sweet    long warming   lasts    delight    impressed   blended dram   far east      small drinks     impressed   package  nice   bottling  pretty coolwould recommend "
"816","let  rest   enjoy  whiskey kicks many  expensive bottles    park   havent tried  yet   question    simple  "
"817","    one    best blended whisky ever produced   years blended whiskies  improved  much     fine example     complex whisky  opens  beautifully  around ml  water   small ice cube   ml double   also helps    alcohol content  really  like opening  hidden box  flavours within  drink really  love  whisky  delicious      simply    grand scheme  things   never quite make    summit  stuck  base camp   commendable   quite  real mccoy "
"818"," didnt like  nothing   whisky  scotland  ireland"
"819","wonderful dram"
"820","dont need  say something   one"
"821","thank "
"822","  absolutely shocked   one initially  got  burbonesque nose    sweet slightly oily   mouth  fantastically fruity   hint  malt   good kick  alchol  without killing     flavour sweet apple toffee  red berries   little biscuit malt   dominant flavours along  subtle vanilla   hint  citrusvanilla  chocolate comes    finish along   berries  almost like  delicious juicy chocolate  berry cakei cannot wait  get  bottle      im also nervous   wont even last one sitting"
"823","   first encounter   whiskies  japan pleasant surprise    confess    believer   isley   found  good gróna"
"824","  expert   whisky  either nice  disgusting  falls   former  doesnt make  screw  face    smooth   palate    warm  comforting drink nice"
"825"," given  sample  whiskey   shopping trip  fell  love immediately bought  nikka whiskey   barrel  one   pure malt  opened  whiskey   barrel  love   much  complex   expected   time  another yet"
"826","picked     duty free yesterday    first drink first   bottle  brilliant even though   l  reminds   moonshine jarswhen  open  bottle  alcohol overpowers  nose  youve got  let  breatheadd   drops  water   glass let  swirl    minutes   first sip  nose  feels  lot like  good bourbon  first sip  smoky even herbal almost like  islay bourbon  vanilla   background  traces  traces whisky   darkest winter night  finish  decently long astringent almost like pine  menthol touch  woodyness    minutes ago   seems   smoothed   flavor profile reversed bourbon toffee vanila  touch  fruits   much   speyside   fore  smokyness comes    background  finish  cloverythis  one   whiskys   give   different experience   work  way   bottle absolute gem brilliant structure  depth   high abv   think   blend scotch blends  eat  hearts   black dog  jonny walkers aint got nothing   one  good   top single malt one word  brilliant"
"827","  dark times  high prices  low availability  japanese whiskies  general    great bang   buck offers  strong intense flavors    enjoyed neat     opened   savored   addition  time  bit  water "
"828"," first japanese dramvery fine complex much fruit high alcohol would like  know  agegeorg mikula"
"829"," smooth   high alc content"
"830","nice length great packaging  peat overwhelmes"
"831","  nice offering  nikka"
"832","  whisky isnt cheap  makes      wonderful deep flavour  little burn  given  abv fantastic stuff"
"833"," time  bought two bottles  "
"834","   first venture  japanese juice     know   expect   matter  fact  wasnt even  japanese     aberlour abunadh  caliber   goto danishgerman bordershop    shop   got  balvenie y peated cask yum yumits   caliber blend   might already knowfrom  bottle   glencairne quite  bit alcohol   nose    surprice due   number printet   bottle     rest    nice stuff rise   glass  get cinnamon  plums  orange christmas    nose   initial alcohol wears   pleasant sweetness adds   nose  first thought  candyfloss    get  every time smoke  completely absentsipping   surprise  start id expect quite  tickling   lips  tongue   high percentage   gentle  caressing  doesnt burn    fruit   palate along    peppery spiciness   fullbodied taste  completely fills  mouth  intensivates  exhaling   sniffing device finish  sweet yet warming  quite short  know   says  long      fine     pour    start   beginning  downside    cl  youll    ammo   time thank god  make  much      selling  "
